age	income	gender	caseID	target
54.1122036239802	22759.8082462936	F	1	1
26.252545738365	41440.6941383983	F	2	1
24.612772546665	43711.8091508193	F	3	1
26.7039604765758	31286.8265087874	F	4	1
22.8389343921705	38038.865773502	F	5	1
33.1132520888961	20098.7616964833	F	6	1
54.4386646185492	24306.0125109706	F	7	1
44.9472580973599	28678.0265699961	F	8	1
43.2209272466567	28578.1240779311	F	9	1
39.727834362714	22958.2180399447	F	10	1
68.8626874598094	19721.7786748049	F	11	1
21.3924629163492	49430.387464615	F	12	1
42.3413007150355	26790.3836053181	F	13	1
60.1972873200378	40869.8693714073	F	14	1
30.9105490336873	34865.1740646068	F	15	1
55.4380050756495	34929.4318750111	F	16	1
33.7146110152071	39055.9538643851	F	17	1
40.8636450143814	38681.6615416246	F	18	1
37.2418005847384	35137.1567396012	F	19	1
75.4041573589654	26490.5677439252	F	20	1
31.5254287905077	30963.0771501571	F	21	1
65.2199304080607	47548.82022891	F	22	1
20.3481679660145	42555.6163823374	F	23	1
26.175921597823	31754.0087785994	F	24	1
19.6943255261846	44424.1423731831	F	25	1
45.3265756218491	36488.008518519	F	26	1
46.1672385602441	28161.8124776607	F	27	1
49.7951987457583	17802.2147971996	F	28	1
29.6498960951557	19863.943018033	F	29	1
36.1966006494927	33825.856734488	F	30	1
46.8314906034773	43745.1198095915	F	31	1
40.036692130548	40553.2566445548	F	32	0
49.4581974841591	37675.8332765663	F	33	1
58.5144846681549	29626.9294522575	F	34	1
45.6134902234692	39944.4387822131	F	35	1
53.6522374066681	20572.0613416465	F	36	1
63.1008137781381	35593.3403915424	F	37	1
62.5323083522874	31734.5003380536	F	38	1
54.1608848119951	48435.4444226184	F	39	1
38.4193320927318	34686.8152705253	F	40	1
27.5683517875827	39310.2713145738	F	41	1
35.0052407084564	25669.7269357612	F	42	0
43.5314601240617	31469.3669330438	F	43	1
61.4014453096452	43236.9075562838	F	44	1
58.4610749381343	45810.3807628523	F	45	1
22.0313623693727	53910.0301002092	F	46	1
29.0425609177177	32027.8335732029	F	47	1
33.5095620792681	29386.2841877587	F	48	1
19.519229298787	20892.9317572657	F	49	1
40.6869529611987	29756.8315313295	F	50	1
23.5710240350559	22656.3151450514	F	51	1
43.7105633321813	53815.5282612653	F	52	1
68.5697458980959	31952.6251761648	F	53	1
33.7777516608128	48499.0852746508	F	54	1
20.9792222994476	26900.2297323835	F	55	1
66.4928045395611	25915.1789191122	F	56	1
22.0268880468565	25522.2179415873	F	57	1
27.4772204076769	33702.6468493201	F	58	1
30.6713174235142	32956.4976658893	F	59	1
29.330748021666	37118.1362615309	F	60	1
19.9701641824696	21286.7940609793	F	61	1
46.3476859083054	25105.4653391158	F	62	1
